t	y	dy	ddy
2.335698302135031934e+00	8.757437601039640418e-01	7.139845825674017155e-01	2.347537799378348888e-01
2.345698302135031721e+00	8.828953264706758119e-01	7.163269743233025011e-01	2.337239298680677257e-01
2.355698302135031508e+00	8.900702651985742397e-01	7.186590484437979098e-01	2.326902634309223339e-01
2.365698302135031295e+00	8.972684729215468780e-01	7.209807670834376125e-01	2.316528443722727371e-01
2.375698302135031081e+00	9.044898458982240097e-01	7.232920930372462864e-01	2.306117370393827581e-01
2.385698302135030868e+00	9.117342800184135010e-01	7.255929897466822931e-01	2.295670063698507790e-01
2.395698302135030655e+00	9.190016708095942732e-01	7.278834213054847790e-01	2.285187178803870789e-01
2.405698302135030442e+00	9.262919134434680624e-01	7.301633524654081997e-01	2.274669376554264155e-01
2.415698302135030229e+00	9.336049027425676883e-01	7.324327486418419353e-01	2.264117323355790135e-01
2.425698302135030016e+00	9.409405331869209466e-01	7.346915759193136664e-01	2.253531691059227349e-01
2.435698302135029802e+00	9.482986989207690121e-01	7.369398010568749546e-01	2.242913156841399303e-01
2.445698302135029589e+00	9.556792937593383552e-01	7.391773914933670309e-01	2.232262403085016056e-01
2.455698302135029376e+00	9.630822111956643949e-01	7.414043153525661234e-01	2.221580117257026810e-01
2.465698302135029163e+00	9.705073444074656663e-01	7.436205414482064402e-01	2.210866991785513103e-01
2.475698302135028950e+00	9.779545862640685039e-01	7.458260392888789170e-01	2.200123723935158704e-01
2.485698302135028737e+00	9.854238293333792420e-01	7.480207790828050651e-01	2.189351015681327839e-01
2.495698302135028523e+00	9.929149658889041552e-01	7.502047317424841433e-01	2.178549573582791166e-01
2.505698302135028310e+00	1.000427887916814917e+00	7.523778688892124311e-01	2.167720108653131417e-01
2.515698302135028097e+00	1.007962487123057915e+00	7.545401628574729402e-01	2.156863336230868122e-01
2.525698302135027884e+00	1.015518654940274601e+00	7.566915866990593376e-01	2.145979975852613519e-01
2.535698302135027671e+00	1.023096282535657542e+00	7.588321141875975506e-01	2.135070751108605336e-01
2.545698302135027458e+00	1.030695260817677594e+00	7.609617198222266010e-01	2.124136389518621881e-01
2.555698302135027244e+00	1.038315480443262606e+00	7.630803788314077796e-01	2.113177622399051159e-01
2.565698302135027031e+00	1.045956831825346045e+00	7.651880671767946618e-01	2.102195184722855659e-01
2.575698302135026818e+00	1.053619205140166271e+00	7.672847615567897073e-01	2.091189814983734907e-01
2.585698302135026605e+00	1.061302490334644411e+00	7.693704394099921684e-01	2.080162255058488341e-01
2.595698302135026392e+00	1.069006577133801983e+00	7.714450789185118840e-01	2.069113250068268517e-01
2.605698302135026179e+00	1.076731355048212935e+00	7.735086590111439619e-01	2.058043548238908116e-01
2.615698302135025965e+00	1.084476713381484769e+00	7.755611593664032410e-01	2.046953900760359601e-01
2.625698302135025752e+00	1.092242541237770759e+00	7.776025604154174209e-01	2.035845061645293330e-01
2.635698302135025539e+00	1.100028727529310579e+00	7.796328433446790829e-01	2.024717787586895745e-01
2.645698302135025326e+00	1.107835160983996481e+00	7.816519900986549363e-01	2.013572837815910677e-01
2.655698302135025113e+00	1.115661730152965436e+00	7.836599833822511796e-01	2.002410973956966767e-01
2.665698302135024900e+00	1.123508323418215049e+00	7.856568066631355318e-01	1.991232959884237930e-01
2.675698302135024687e+00	1.131374829000243221e+00	7.876424441739141580e-01	1.980039561576476814e-01
2.685698302135024473e+00	1.139261134965706912e+00	7.896168809141638212e-01	1.968831546971471780e-01
2.695698302135024260e+00	1.147167129235101335e+00	7.915801026523175965e-01	1.957609685819966805e-01
2.705698302135024047e+00	1.155092699590457794e+00	7.935320959274049235e-01	1.946374749539092897e-01
2.715698302135023834e+00	1.163037733683057739e+00	7.954728480506441102e-01	1.935127511065355965e-01
2.725698302135023621e+00	1.171002119041161693e+00	7.974023471068883984e-01	1.923868744707226686e-01
2.735698302135023408e+00	1.178985743077752169e+00	7.993205819559238146e-01	1.912599225997379804e-01
2.745698302135023194e+00	1.186988493098289688e+00	8.012275422336195829e-01	1.901319731544627023e-01
2.755698302135022981e+00	1.195010256308477459e+00	8.031232183529299906e-01	1.890031038885591208e-01
2.765698302135022768e+00	1.203050919822037157e+00	8.050076015047480382e-01	1.878733926336169369e-01
2.775698302135022555e+00	1.211110370668492697e+00	8.068806836586100983e-01	1.867429172842829110e-01
2.785698302135022342e+00	1.219188495800958894e+00	8.087424575632525814e-01	1.856117557833787679e-01
2.795698302135022129e+00	1.227285182103935002e+00	8.105929167470184993e-01	1.844799861070119118e-01
2.805698302135021915e+00	1.235400316401103593e+00	8.124320555181168135e-01	1.833476862496837556e-01
2.815698302135021702e+00	1.243533785463128982e+00	8.142598689647312371e-01	1.822149342094002977e-01
2.825698302135021489e+00	1.251685476015456988e+00	8.160763529549810436e-01	1.810818079727897212e-01
2.835698302135021276e+00	1.259855274746113585e+00	8.178815041367328842e-01	1.799483855002316779e-01
2.845698302135021063e+00	1.268043068313500887e+00	8.196753199372641685e-01	1.788147447110030597e-01
